sensor_id,station_code,calibration_date,offset_coefficient,gain_factor,noise_floor_db,status,operator
FRIDA-001,NRL-EAST-01,2022-04-12,0.0042,-0.0011,−87.3,PASS,J.Torres
FRIDA-002,NRL-EAST-01,2022-04-12,0.0039,-0.0009,−88.1,PASS,J.Torres
FRIDA-003,NRL-EAST-02,2022-04-15,0.0051,-0.0014,−86.9,PASS,M.Okafor
FRIDA-004,NRL-EAST-02,2022-04-15,0.0047,-0.0010,−87.7,PASS,M.Okafor
FRIDA-005,NRL-CENT-01,2022-04-19,0.0038,-0.0008,−89.2,PASS,D.Hernandez
FRIDA-006,NRL-CENT-01,2022-04-19,0.0055,-0.0016,−85.4,WARN,D.Hernandez
FRIDA-007,NRL-CENT-02,2022-04-22,0.0041,-0.0011,−88.0,PASS,D.Hernandez
FRIDA-008,NRL-WEST-01,2022-05-03,0.0044,-0.0013,−87.5,PASS,S.Nakamura
FRIDA-009,NRL-WEST-01,2022-05-03,0.0040,-0.0010,−88.8,PASS,S.Nakamura
FRIDA-010,NRL-WEST-02,2022-05-09,0.0049,-0.0012,−86.6,PASS,S.Nakamura
FRIDA-011,NRL-WEST-02,2022-05-09,0.0036,-0.0007,−89.9,PASS,S.Nakamura
FRIDA-012,NRL-SOUT-01,2022-05-17,0.0052,-0.0015,−86.1,PASS,R.Okonkwo
FRIDA-013,NRL-SOUT-01,2022-05-17,0.0060,-0.0019,−84.3,FAIL,R.Okonkwo
FRIDA-014,NRL-SOUT-02,2022-06-01,0.0043,-0.0011,−87.9,PASS,R.Okonkwo
FRIDA-015,NRL-SOUT-02,2022-06-01,0.0046,-0.0013,−87.2,PASS,R.Okonkwo
